Date : 2025-06-15 17:04:45
Directory : d:\MyApps\TimeSelfie
Total : 64 files,  4110 codes, 476 comments, 630 blanks, all 5216 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Kotlin          |         37 |      3,003 |        395 |        488 |      3,886 |
| Markdown        |          1 |        488 |          0 |         89 |        577 |
| XML             |         20 |        463 |         18 |         10 |        491 |
| Kotlinscript    |          3 |        108 |         14 |         20 |        142 |
| Batch           |          1 |         39 |         29 |         22 |         90 |
| Java Properties |          2 |          9 |         20 |          1 |         30 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                          |         64 |      4,110 |        476 |        630 |      5,216 |
| . (Files)                                                                                                  |          4 |         72 |         49 |         24 |        145 |
| .idea                                                                                                      |          9 |        165 |          0 |          0 |        165 |
| .idea (Files)                                                                                              |          8 |        104 |          0 |          0 |        104 |
| .idea\inspectionProfiles                                                                                   |          1 |         61 |          0 |          0 |         61 |
| app                                                                                                        |         49 |      3,380 |        426 |        516 |      4,322 |
| app (Files)                                                                                                |          1 |         79 |         13 |         18 |        110 |
| app\src                                                                                                    |         48 |      3,301 |        413 |        498 |      4,212 |
| app\src\androidTest                                                                                        |          1 |         14 |          6 |          4 |         24 |
| app\src\androidTest\java                                                                                   |          1 |         14 |          6 |          4 |         24 |
| app\src\androidTest\java\com                                                                               |          1 |         14 |          6 |          4 |         24 |
| app\src\androidTest\java\com\example                                                                       |          1 |         14 |          6 |          4 |         24 |
| app\src\androidTest\java\com\example\timeselfie                                                            |          1 |         14 |          6 |          4 |         24 |
| app\src\main                                                                                               |         46 |      3,278 |        402 |        491 |      4,171 |
| app\src\main (Files)                                                                                       |          1 |         45 |          4 |          7 |         56 |
| app\src\main\java                                                                                          |         35 |      2,980 |        384 |        481 |      3,845 |
| app\src\main\java\com                                                                                      |         35 |      2,980 |        384 |        481 |      3,845 |
| app\src\main\java\com\example                                                                              |         35 |      2,980 |        384 |        481 |      3,845 |
| app\src\main\java\com\example\timeselfie                                                                   |         35 |      2,980 |        384 |        481 |      3,845 |
| app\src\main\java\com\example\timeselfie (Files)                                                           |          2 |         74 |          5 |         12 |         91 |
| app\src\main\java\com\example\timeselfie\data                                                              |         13 |        399 |         94 |        103 |        596 |
| app\src\main\java\com\example\timeselfie\data\database                                                     |         10 |        215 |         39 |         65 |        319 |
| app\src\main\java\com\example\timeselfie\data\database (Files)                                             |          1 |         47 |          4 |          6 |         57 |
| app\src\main\java\com\example\timeselfie\data\database\converters                                          |          1 |         13 |          4 |          5 |         22 |
| app\src\main\java\com\example\timeselfie\data\database\dao                                                 |          4 |         87 |         16 |         42 |        145 |
| app\src\main\java\com\example\timeselfie\data\database\entities                                            |          4 |         68 |         15 |         12 |         95 |
| app\src\main\java\com\example\timeselfie\data\models                                                       |          1 |         31 |         15 |          6 |         52 |
| app\src\main\java\com\example\timeselfie\data\repository                                                   |          2 |        153 |         40 |         32 |        225 |
| app\src\main\java\com\example\timeselfie\di                                                                |          2 |         86 |          4 |         15 |        105 |
| app\src\main\java\com\example\timeselfie\ui                                                                |         12 |      1,747 |        109 |        190 |      2,046 |
| app\src\main\java\com\example\timeselfie\ui\components                                                     |          1 |        167 |         10 |         17 |        194 |
